current_time,request_id,agent_type,speak_duration,asr_duration,tts_req_duration,total_duration,llm_generation_time,speech_generation_time,llm_client_name
1724176296,459102,Agent1,4.765377,0.07765198,1.006939,1.097452,346.805,650.102,llamafile_llama3
1724176342,7510,Agent1,0.9371185,0.1547775,1.12355,1.290031,338.562,773.557,llamafile_llama3
1724176353,982584,Agent1,0.6033401,0.1554184,1.09581,1.264305,415.785,674.91,llamafile_llama3
1724176380,260368,Agent1,14.04639,0.09829712,1.376312,1.487122,438.728,933.27,llamafile_llama3
1724176423,716547,Agent1,0.9076996,0.1501923,1.065964,1.228638,373.855,682.343,llamafile_llama3
1724176592,169550,Agent1,16.55787,0.1073017,0.9764404,1.098341,304.713,666.06,llamafile_llama3
1724176607,305867,Agent1,0.6588326,0.1514931,0.9899483,1.154755,360.76,622.597,llamafile_llama3
1724176634,427225,Agent1,1.775673,0.0911026,1.113693,1.219101,431.587,670.976,llamafile_llama3
1724176653,463563,Agent1,4.356941,0.08615875,1.056923,1.157707,388.079,659.134,llamafile_llama3
1724176892,925308,Agent1,6.215219,0.1119757,0.9082613,1.033342,246.403,650.803,llamafile_llama3
1724177004,22648,Agent1,0.9495254,0.1618004,0.9636755,1.14051,297.598,660.621,llamafile_llama3
1724177027,885987,Agent1,0.6773052,0.1506023,1.096704,1.266872,409.087,680.878,llamafile_llama3
1724177044,52979,Agent1,1.361343,0.1446457,1.140781,1.298077,402.101,728.22,llamafile_llama3
1724177061,598668,Agent1,1.981285,0.06258392,1.250351,1.324707,385.242,861.418,llamafile_llama3
1724177144,212231,Agent1,1.340837,0.07371426,1.011751,1.098214,251.649,750.712,llamafile_llama3
1724177155,29588,Agent1,2.267565,0.0625,0.873642,0.9486046,249.979,614.498,llamafile_llama3
1724177332,655561,Agent1,0.9829254,0.1588287,1.081131,1.252243,351.968,719.8,llamafile_llama3
1724177861,462114,Agent1,1.296394,0.1498489,0.940033,1.105324,249.122,671.396,llamafile_llama3
1724177873,980873,Agent1,1.29937,0.144165,1.126358,1.284286,417.321,701.03,llamafile_llama3
1724178030,810652,Agent1,2.84024,0.08793926,0.9103498,1.013227,252.595,643.376,llamafile_llama3
1724178039,98281,Agent1,0.6271706,0.1399994,1.065107,1.217041,369.824,690.329,llamafile_llama3
1724178087,831252,Agent1,0.9143524,0.1545181,1.063477,1.22937,328.588,718.331,llamafile_llama3
1724178099,920992,Agent1,1.488823,0.05820465,1.207657,1.279991,420.469,778.101,llamafile_llama3
1724178150,722343,Agent1,3.309685,0.0738678,1.240967,1.327103,472.926,754.227,llamafile_llama3
1724178350,623989,Agent1,4.514687,0.09253788,1.064746,1.170348,287.711,761.143,llamafile_llama3
1724178449,112531,Agent1,0.8952179,0.1455078,1.059608,1.219269,327.097,722.909,llamafile_llama3
1724178624,97479,Agent1,1.223958,0.07743931,1.02471,1.120248,325.461,687.19,llamafile_llama3
1724178748,86086,Agent1,1.714792,0.08031368,0.88344,0.9796505,244.8,621.134,llamafile_llama3
1724178764,113692,Agent1,1.911097,0.0656147,1.120901,1.199625,394.094,715.852,llamafile_llama3
1724178802,329335,Agent1,1.296658,0.1502914,1.512314,1.675499,574.854,926.555,llamafile_llama3
1724178845,620794,Agent1,2.558365,0.08084869,2.16996,2.286926,1026.361,1131.833,llamafile_llama3
1724178992,126631,Agent1,0.9685678,0.1513443,1.00906,1.17282,319.067,677.381,llamafile_llama3
1724179006,502627,Agent1,3.368767,0.07098389,1.018742,1.103136,300.373,710.752,llamafile_llama3
